Q1_GOING_OUT,Q2_GENDER,Q3_AGE,Q5_STATE_PROVINCE_COUNTY_ETC,Q6_Any_full_sized_candy_bar,Q6_Butterfinger,Q6_Candy_Corn,Q6_Chiclets,Q6_Dots,Q6_Fuzzy_Peaches,Q6_Good_N_Plenty,Q6_Gummy_Bears_straight_up,Q6_Healthy_Fruit,Q6_Heath_Bar,Q6_Hershey_s_Dark_Chocolate,Q6_Hershey_s_Milk_Chocolate,Q6_Hershey_s_Kisses,Q6_Jolly_Rancher_bad_flavor,Q6_Jolly_Ranchers_good_flavor,Q6_Junior_Mints,Q6_Kit_Kat,Q6_LaffyTaffy,Q6_LemonHeads,Q6_Licorice_not_black,Q6_Licorice_yes_black,Q6_Lollipops,Q6_Mike_and_Ike,Q6_Milk_Duds,Q6_Milky_Way,Q6_Regular_M_Ms,Q6_Peanut_M_M_s,Q6_Mint_Kisses,Q6_Mr_Goodbar,Q6_Nerds,Q6_Nestle_Crunch,Q6_Peeps,Q6_Pixy_Stix,Q6_Reese_s_Peanut_Butter_Cups,Q6_Reese_s_Pieces,Q6_Rolos,Q6_Skittles,Q6_Snickers,Q6_Sourpatch_Kids_i_e_abominations_of_nature,Q6_Starburst,Q6_Swedish_Fish,Q6_Tic_Tacs,Q6_Three_Musketeers,Q6_Tolberone_something_or_other,Q6_Trail_Mix,Q6_Twix,Q6_Whatchamacallit_Bars,Q6_York_Peppermint_Patties,Q7_JOY_OTHER,Q8_DESPAIR_OTHER,Q9_OTHER_COMMENTS
No,Female,34,Alabama,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,JOY,MEH,JOY,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,JOY,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,MEH,Beer,,
No,Male,52,Alabama,MEH,JOY,JOY,MEH,MEH,MEH,MEH,MEH,JOY,MEH,MEH,JOY,JOY,DESPAIR,JOY,MEH,JOY,MEH,JOY,JOY,DESPAIR,MEH,MEH,MEH,JOY,JOY,JOY,MEH,MEH,MEH,MEH,MEH,JOY,JOY,JOY,MEH,MEH,MEH,MEH,MEH,MEH,MEH,JOY,JOY,JOY,JOY,MEH,JOY,,Orange slices.,"""Stikcy candy is okay if eaten immediately but is awful for late, including the later in Now and Later candy"""
No,Male,52,Alabama,JOY,JOY,JOY,DESPAIR,MEH,DESPAIR,MEH,JOY,DESPAIR,MEH,MEH,JOY,JOY,MEH,MEH,JOY,JOY,MEH,MEH,JOY,MEH,MEH,MEH,MEH,JOY,JOY,JOY,JOY,JOY,MEH,JOY,JOY,MEH,JOY,JOY,JOY,MEH,JOY,DESPAIR,JOY,DESPAIR,MEH,JOY,MEH,MEH,JOY,MEH,JOY,,,
No,Female,33,Alabama,JOY,JOY,DESPAIR,MEH,MEH,MEH,MEH,JOY,MEH,JOY,JOY,JOY,MEH,MEH,JOY,MEH,JOY,JOY,MEH,DESPAIR,DESPAIR,MEH,MEH,JOY,JOY,MEH,JOY,JOY,JOY,MEH,JOY,DESPAIR,MEH,JOY,JOY,JOY,JOY,JOY,JOY,JOY,MEH,MEH,JOY,JOY,DESPAIR,JOY,MEH,MEH,,"""Mounds, Almond Joy, Whoppers""",
No,Female,36,Alaska,JOY,JOY,DESPAIR,MEH,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,MEH,DESPAIR,JOY,DESPAIR,JOY,MEH,MEH,JOY,MEH,DESPAIR,MEH,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,MEH,JOY,MEH,DESPAIR,MEH,JOY,MEH,MEH,MEH,JOY,MEH,JOY,MEH,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,MEH,MEH,"""Baby Ruth, Cadbury Mini Eggs, Hershey with Almonds, ""","""Palmer-brand Halloween Chocolates, Generic Halloween-themed chocolate, Tootsie Rolls, Whoppers""",
No,Male,48,Alaska,MEH,JOY,DESPAIR,MEH,JOY,DESPAIR,JOY,JOY,DESPAIR,JOY,DESPAIR,JOY,MEH,MEH,,JOY,MEH,JOY,JOY,JOY,JOY,MEH,JOY,JOY,MEH,JOY,MEH,JOY,MEH,JOY,MEH,MEH,MEH,JOY,JOY,JOY,JOY,MEH,JOY,MEH,JOY,MEH,MEH,JOY,DESPAIR,JOY,MEH,JOY,,,
No,Female,51,Arizona,JOY,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,MEH,JOY,MEH,JOY,JOY,MEH,MEH,JOY,JOY,MEH,MEH,MEH,JOY,MEH,MEH,MEH,JOY,JOY,JOY,MEH,JOY,MEH,JOY,JOY,MEH,JOY,JOY,JOY,MEH,JOY,MEH,MEH,JOY,DESPAIR,JOY,JOY,MEH,JOY,JOY,JOY,"""weed, red vines , fruit roll-ups, seaweed snacks, atomic warheads, oreos, starbucks giftcards, jello shots, legos, kinder eggs, anything haribo!""","""cat kibble, milkbones, twizzlers, cinnamon toothpicks, denture creme samples, orange slice candy, fig newtons, wax lips, mini bibles, corn nuts, travel size soaps, anything tamarind flavoured.""","""while the JOY OTHER items reflect the best halloween treats recieved sprinkled with a few i've fervently hoped for; the DESPAIR OTHER tragically list halloween treats i actually received. what a cruel, wicked, wonderful world...."""
No,Female,71,Arizona,JOY,JOY,JOY,MEH,MEH,MEH,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,MEH,JOY,JOY,JOY,MEH,JOY,MEH,DESPAIR,MEH,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,MEH,MEH,JOY,JOY,JOY,JOY,JOY,JOY,MEH,JOY,MEH,JOY,JOY,MEH,JOY,MEH,JOY,Super Lemons (from Japan) String cheese sticks,"""""""Cute"""" Erasers Carrot sticks Hotel-sized toiletries""","""As a presenter, I give the best stuff to obviously home-made costumes worn by pre-pubertal Trick or Treaters - """"boughten"""" costumes, teenagers, and people with no costume at all who ring the bell and expect largesse for just showing up get mini-jars of hand cream, etc. received as free samples or brought home from the last hotel stay."""
No,Female,56,Arizona,JOY,JOY,DESPAIR,DESPAIR,MEH,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,MEH,MEH,MEH,DESPAIR,MEH,DESPAIR,JOY,MEH,MEH,MEH,DESPAIR,MEH,DESPAIR,MEH,MEH,JOY,JOY,DESPAIR,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,JOY,DESPAIR,JOY,DESPAIR,MEH,JOY,DESPAIR,JOY,JOY,DESPAIR,MEH,JOY,DESPAIR,"""Almond M&Ms, Hersey's Milk Chocolate with Almonds, Tootsie Pop Drops""",Balmer Chocolates (like wax),"""Over the past few years I have started to see impossibly tiny portions of Halloween candy, that makes me despair the most. A Tootsie Pop should not be smaller than a lima bean!"""
No,Male,52,Arizona,JOY,JOY,MEH,MEH,DESPAIR,MEH,DESPAIR,MEH,DESPAIR,DESPAIR,MEH,MEH,MEH,DESPAIR,MEH,JOY,JOY,DESPAIR,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,MEH,JOY,MEH,DESPAIR,MEH,JOY,DESPAIR,MEH,JOY,JOY,DESPAIR,MEH,MEH,DESPAIR,MEH,MEH,MEH,JOY,DESPAIR,MEH,JOY,DESPAIR,MEH,,Bit-O-Honey,
